name,en_US,ja_JP,ko_KR,zh_CN
Scene.decimation_mode.half.desc,"Good results - minimal shape key loss

This will only decimate meshes with less than 4 shape keys as those are often not used.
The results are better but you will lose the shape keys in some meshes.
Eye Tracking and Lip Syncing should still work.",,"나쁘지 않은 결과, - 최소한의 쉐이프키 손실됨

This will only decimate meshes with less than 4 shape keys as those are often not used.
The results are better but you will lose the shape keys in some meshes.
Eye Tracking and Lip Syncing should still work.","良好的结果 - 最小的形态键损失

这只会精简少于 4 个形态键的网格，因为它们通常不被使用。
结果更好，但您会丢失某些网格中的形态键。
眼睛追踪和唇形同步应该仍然有效。"
Scene.decimation_mode.full.label,Full,フル,전체,满的
Scene.decimation_mode.full.desc,"Consistent results - full shape key loss

This will decimate your whole model deleting all shape keys in the process.
This will give consistent results but you will lose the ability to add blinking and Lip Syncing.
Eye Tracking will still work if you disable Eye Blinking.",,"일관된 결과 - 모든 쉐이프키들이 손실됨

This will decimate your whole model deleting all shape keys in the process.
This will give consistent results but you will lose the ability to add blinking and Lip Syncing.
Eye Tracking will still work if you disable Eye Blinking.","一致的结果 - 完整的密钥丢失

这将大量删除您的整个模型，并在此过程中删除所有形态键。
这将提供一致的结果，但您将失去添加眨眼和唇形同步的能力。
如果您禁用眨眼，眼睛追踪仍然有效。"
Scene.decimation_mode.custom.label,Custom,カスタム,커스텀,自定义
Scene.decimation_mode.custom.desc,"Custom results - custom shape key loss

This will let you choose which meshes and shape keys should not be decimated.
",,"커스텀 결과 - 커스텀 쉐이프키 손실

This will let you choose which meshes and shape keys should not be decimated.
","自定义结果 - 自定义形态键丢失

这将让您选择不应该精简哪些网格和形态键。"
Scene.selection_mode.label,Selection Mode,選択モード,선택 모드,选择模式
Scene.selection_mode.desc,Selection Mode,,,选择模式
Scene.selection_mode.shapekeys.label,Shape Keys,シェイプキー,쉐이프키,形态键
Scene.selection_mode.shapekeys.desc,Select all the shape keys you want to preserve here.,,,在此处选择要保留的所有形态键。
Scene.selection_mode.meshes.label,Meshes,メッシュ,메쉬,网格
Scene.selection_mode.meshes.desc,Select all the meshes you don't want to decimate here.,,,在此处选择您不想精简的所有网格。
Scene.add_shape_key.label,Shape,形状,쉐이프키,形状
Scene.add_shape_key.desc,The shape key you want to keep,,,您要保留的形态键
Scene.add_mesh.label,Mesh,メッシュ,메쉬,网格
Scene.add_mesh.desc,The mesh you want to leave untouched by the decimation,,,您希望保留不被精简影响的网格
Scene.decimate_fingers.label,Save Fingers,指を救う,손가락 유지,拯救手指
Scene.decimate_fingers.desc,"Check this if you don't want to decimate your fingers!
Results will be worse but there will be no issues with finger movement.
This is probably only useful if you have a VR headset.

This operation requires the finger bones to be named specifically:
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)",,"손가락의 버텍스를 줄여 망치고 싶지 않다면 이것을 체크하세요!
결과는 더 나빠질 수 있지만 손의 움직임에는 문제가 없습니다.
아마 VR을 사용하는 경우에만 유용 할 것입니다.

이 작업을 수행하려면 손가락과 손 뼈의 이름을 구체적으로 지정해야합니다.
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)","如果你不想毁掉你的手指，请检查这个！
结果会更糟，但手指移动不会有问题。
这可能仅在您拥有 VR 耳机时才有用。

此操作需要具体命名指骨：
拇指（0-2）_（左/右）
食指(1-3)_(L/R)
中指(1-3)_(L/R)
无名指(1-3)_(L/R)
小指(1-3)_(左/右)"
Scene.decimate_hands.label,Save Hands,手を救う,손 유지,拯救双手
Scene.decimate_hands.desc,"Check this if you don't want to decimate your full hands!
Results will be worse but there will be no issues with hand movement.
This is probably only useful if you have a VR headset.

This operation requires the finger and hand bones to be named specifically:
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)",,"손의 버텍스를 줄여 망치고 싶지 않다면 이것을 체크하세요!
결과는 더 나빠질 수 있지만 손의 움직임에는 문제가 없습니다.
아마 VR을 사용하는 경우에만 유용 할 것입니다.

이 작업을 수행하려면 손가락과 손 뼈의 이름을 구체적으로 지정해야합니다.
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)","如果你不想毁掉你的全部手，请检查这个！
结果会更糟，但手部移动不会有问题。
这可能仅在您拥有 VR 耳机时才有用。

此操作需要具体命名手指和手骨：
左/右手腕
拇指（0-2）_（左/右）
食指(1-3)_(L/R)
中指(1-3)_(L/R)
无名指(1-3)_(L/R)
小指(1-3)_(左/右)"
Scene.decimation_remove_doubles.label,Remove Doubles,重複を削除,이중 제거,删除重复
Scene.decimation_remove_doubles.desc,Uncheck this if you get issues with this checked,Uncheck this if you got issues with with this checked,문제가 될 시 체크를 해제하세요,如果您对此检查有问题，请取消选中此选项
Scene.decimation_animation_weighting.label,Animation weighting,,,动画权重
Scene.decimation_animation_weighting.desc,"Weight decimation based on shape keys and vertex group overlap
Results in better animating topology by trading off overall shape accuracy
Use if your elbows/joints end up with bad topology",,,"基于形态键和顶点组重叠的权重精简
通过权衡整体形状精度来产生更好的动画拓扑
如果您的肘部/关节最终出现不良拓扑结构，请使用"
Scene.decimation_animation_weighting_factor.label,Factor,,,
Scene.decimation_animation_weighting_factor.desc,How much influence the animation weighting has on the overall shape,,,动画权重对整体形状的影响有多大
Scene.max_tris.label,Tris,トリス,삼각폴리곤(Tris),三角化/三边面
Scene.max_tris.desc,The target amount of tris after decimation,,,精简后的目标面数量
Scene.eye_mode.label,Eye Mode,アイモード,,眼睛模式
Scene.eye_mode.desc,Mode,,,模式
Scene.eye_mode.creation.label,Creation,創作,생성,创建
Scene.eye_mode.creation.desc,Here you can create eye tracking.,,,在这里您可以创建眼睛追踪。
Scene.eye_mode.testing.label,Testing,テスティング,테스트,测试
Scene.eye_mode.testing.desc,Here you can test how eye tracking will look in-game.,,,在这里，您可以测试眼睛追踪在游戏中的外观。
Scene.mesh_name_eye.label,Mesh,メッシュ,메쉬,网格
Scene.mesh_name_eye.desc,The mesh with the eyes vertex groups,,,带有眼睛顶点组的网格
Scene.head.label,Head,頭,머리,头部
Scene.head.desc,The head bone containing the eye bones,,,包含眼部的骨头
Scene.eye_left.label,Left Eye,左目,왼쪽 눈,左眼：eye_L
Scene.eye_left.desc,The models left eye bone,,,模特左眼骨
Scene.eye_right.label,Right Eye,右目,오른쪽 눈,右眼：eye_R
Scene.eye_right.desc,The models right eye bone,,,模特右眼骨
Scene.wink_left.label,Blink Left,左点滅,왼쪽 깜빡임,左眨眼
Scene.wink_left.desc,The shape key containing a blink with the left eye,,,包含左眼眨眼的形态键
Scene.wink_right.label,Blink Right,右点滅,오른쪽 깜빡임,右眨眼
Scene.wink_right.desc,The shape key containing a blink with the right eye,,,包含右眼眨眼的形态键
Scene.lowerlid_left.label,Lowerlid Left,下まぶた左,왼쪽 아래 눈꺼풀,左下睑
Scene.lowerlid_left.desc,"The shape key containing a slightly raised left lower lid.
Can be set to ""Basis"" to disable lower lid movement",,,"包含略微凸起的左下盖的形态键。
可以设置为""基础""以禁用下眼睑移动"
Scene.lowerlid_right.label,Lowerlid Right,下まぶた右,오른쪽 아래 눈꺼풀,右下睑
Scene.lowerlid_right.desc,"The shape key containing a slightly raised right lower lid.
Can be set to ""Basis"" to disable lower lid movement",,,"包含略微凸起的右下盖的形态键。
可以设置为""基础""以禁用下眼睑移动"
Scene.disable_eye_movement.label,Disable Eye Movement,目の動きを無効にする,눈 움직임 비활성화,禁用眼睛移动
Scene.disable_eye_movement.desc,"IMPORTANT: Do your decimation first if you check this!

Disables eye movement. Useful if you only want blinking.
This creates eye bones with no movement bound to them.
You still have to assign ""LeftEye"" and ""RightEye"" to the eyes in Unity",,,"重要提示：如果您选中此项，请先进行精简！

禁用眼睛移动。 如果您只想闪烁，则很有用。
这会创建没有移动约束的眼骨。
你仍然需要在 Unity 中为眼睛分配""LeftEye""和""RightEye"""
Scene.disable_eye_blinking.label,Disable Eye Blinking,瞬きを無効にする,눈 깜빡임 비활성화,禁用眼睛眨眼
Scene.disable_eye_blinking.desc,"Disables eye blinking. Useful if you only want eye movement.
This will create the necessary shape keys but leaves them empty",,,"禁用眼睛眨眼。 如果您只想要眼睛移动，这很有用。
这将创建必要的形态键，但将它们留空"
Scene.eye_distance.label,Eye Movement Range,眼球運動範囲,눈 움직임 범위,眼睛移动范围
Scene.eye_distance.desc,"Higher = more eye movement
Lower = less eye movement
Warning: Too little or too much range can glitch the eyes.
Test your results in the ""Eye Testing""-Tab!
",,,"更高 = 更多眼球移动
较低 = 较少的眼球移动
警告：太小或太大的范围都会使眼睛出现故障。
在""眼睛测试""选项卡中测试您的结果！"
Scene.eye_rotation_x.label,Up - Down,上 - 下,위 - 아래,上 - 下
Scene.eye_rotation_x.desc,Rotate the eye bones on the vertical axis,,,在垂直轴上旋转眼睛骨骼
Scene.eye_rotation_y.label,Left - Right,左 - 右,왼쪽 - 오른쪽,左 - 右
Scene.eye_rotation_y.desc,"Rotate the eye bones on the horizontal axis.
This is from your own point of view",,,"在水平轴上旋转眼睛骨骼。
这是从你自己的角度"
Scene.iris_height.label,Iris Height,アイリスの高さ,눈동자 높이,虹膜高度
Scene.iris_height.desc,Moves the iris away from the eye ball,,,使虹膜远离眼睛
Scene.eye_blink_shape.label,Blink Strength,まばたきの強さ,깜빡임 강도,闪烁强度
Scene.eye_blink_shape.desc,Test the blinking of the eye,,,测试眨眼
Scene.eye_lowerlid_shape.label,Lowerlid Strength,下まぶたの強さ,아래 눈꺼풀 강도,下眼睑力量
Scene.eye_lowerlid_shape.desc,Test the lowerlid blinking of the eye,,,测试下眼睑眨眼
Scene.mesh_name_viseme.label,Mesh,メッシュ,메쉬,网格
Scene.mesh_name_viseme.desc,The mesh with the mouth shape keys,,,带有嘴形键的网格
Scene.mouth_a.label,Viseme AA,バイセム AA,발음 아(AA),发音（AA）あ
Scene.mouth_a.desc,"Shape key containing mouth movement that looks like someone is saying ""aa"".
Do not put empty shape keys like ""Basis"" in here",,,"形态键包含看起来有人在说""aa""的嘴巴动作。
不要在这里放像""Basis""这样的空形态键"
Scene.mouth_o.label,Viseme OH,バイセム OH,발음 오(OH),发音（OH）お
Scene.mouth_o.desc,"Shape key containing mouth movement that looks like someone is saying ""oh"".
Do not put empty shape keys like ""Basis"" in here",,,"包含看起来有人在说""哦""的嘴巴动作的形态键。
不要在这里放像""Basis""这样的空形态键"
Scene.mouth_ch.label,Viseme CH,バイセム CH,발음 츠(CH),发音（CH）い
Scene.mouth_ch.desc,"Shape key containing mouth movement that looks like someone is saying ""ch"". Opened lips and clenched teeth.
Do not put empty shape keys like ""Basis"" in here",,,"形态键包含看起来有人在说""ch""的嘴巴动作。 张开嘴唇，咬紧牙关。
不要在这里放像""Basis""这样的空形态键"
Scene.shape_intensity.label,Shape Key Mix Intensity,シェイプキーミックスの強度,쉐이프키 혼합 강도,形态键混合强度
Scene.shape_intensity.desc,Controls the strength in the creation of the shape keys. Lower for less mouth movement strength,,,控制创建形态键的强度。 降低嘴巴移动强度
Scene.root_bone.label,To Parent,親に,부모쪽으로,到父级
Scene.root_bone.desc,List of bones that look like they could be parented together to a root bone,,,看起来可以作为根骨骼的父级的骨骼列表
Scene.optimize_mode.label,Optimize Mode,最適化モード,최적화 모드,优化模式
Scene.optimize_mode.desc,Mode,,,模式
Scene.optimize_mode.atlas.label,Atlas,アトラス,,纹理集
Scene.optimize_mode.atlas.desc,Allows you to make a texture atlas.,,,允许您制作纹理图集。
Scene.optimize_mode.material.label,Material,マテリアル,매테리얼,材质
Scene.optimize_mode.material.desc,Some various options on material manipulation.,,,关于材质操作的一些不同选项。
Scene.optimize_mode.bonemerging.label,Bone Merging,骨のマージ,본 통합,骨骼合并
Scene.optimize_mode.bonemerging.desc,Allows child bones to be merged into their parents.,,,允许子骨骼合并到它们的父骨骼中。
Scene.merge_ratio.label,Merge Ratio,マージ率,통합 비율,合并比率
Scene.merge_ratio.desc,"Higher = more bones will be merged
Lower = less bones will be merged
",,,"更高 = 更多骨骼将被合并
较低 = 更少的骨骼将被合并"
Scene.merge_mesh.label,Mesh,メッシュ,메쉬,网格
Scene.merge_mesh.desc,The mesh with the bones vertex groups,,,具有骨骼顶点组的网格
Scene.merge_bone.label,To Merge,マージするには,통합할 부분,合并
Scene.merge_bone.desc,List of bones that look like they could be merged together to reduce overall bones,,,看起来可以合并在一起以减少整体骨骼的骨骼列表
Scene.show_avatar_2_tabs.label,Show Avatar 2.0 tools,,,
Scene.show_avatar_2_tabs.desc,Show tools specific to legacy versions of the Avatar API,,,显示特定于旧版 Avatar API 的工具
Scene.show_mmd_tabs.label,Show mmd_tools,,mmd_tools 탭 보이기,显示 mmd_tools
Scene.show_mmd_tabs.desc,"Allows you to hide/show the mmd_tools tabs ""MMD"" and ""Misc""",,,"允许您隐藏/显示 mmd_tools 选项卡""MMD""和""Misc"""
Scene.embed_textures.label,Embed Textures on Export,エクスポート時にテクスチャを埋め込む,내보낼 때 텍스처 포함,在导出时嵌入纹理
Scene.embed_textures.desc,"Enable this to embed the texture files into the FBX file upon export.
Unity will automatically extract these textures and put them into a separate folder.
This might not work for everyone and it increases the file size of the exported FBX file",,,"启用此选项可在导出时将纹理文件嵌入到 FBX 文件中。
Unity 会自动提取这些纹理并将它们放入单独的文件夹中。
这可能不适用于所有人，并且会增加导出的 FBX 文件的文件大小"
Scene.ui_lang.label,Cats Language,,,Cats 语言选择
Scene.ui_lang.desc,Lets you select which language the Cats interface should have,,,让您选择 Cats 界面应具有的语言
Scene.use_custom_mmd_tools.label,Use Custom mmd_tools,カスタムmmd_toolsを使用する,커스텀 mmd_tools 사용,使用自定义 mmd_tools
Scene.use_custom_mmd_tools.desc,Enable this to use your own version of mmd_tools. This will disable the internal cats mmd_tools,,,启用它以使用您自己的 mmd_tools 版本。 这将禁用内部猫 mmd_tools
Scene.debug_translations.label,Debug Google Translations,Google翻訳をデバッグ,Google 번역 디버그,调试谷歌翻译
Scene.debug_translations.desc,Tests the Google Translations and prints the Google response in case of error,,,测试 Google 翻译并在出现错误时打印 Google 响应
Scene.bake_resolution.label,Resolution,,해상도,分辨率
Scene.bake_resolution.desc,"Output resolution for the textures.
- 2048 is typical for desktop use.
- 1024 is reccomended for the Quest",,"테스쳐들의 결과 해상도.
- 2048 데스크탑 용
- 1024 퀘스트 용","纹理的输出分辨率。
- 2048 是典型的桌面使用。
- 建议 1024 用于 Quest"
Scene.bake_use_decimation.label,Decimate,,버텍스 줄이기(Decimate),精简顶点
Scene.bake_use_decimation.desc,"Reduce polycount before baking, then use Normal maps to restore detail",,베이킹하기 전에 폴리 카운트를 줄인 다음 노멀 맵을 사용하여 디테일을 복원합니다.,烘焙前减少多边形数，然后使用法线贴图恢复细节
Scene.bake_generate_uvmap.label,Generate UVMap,,UV 맵 생성,生成 UV 贴图
Scene.bake_generate_uvmap.desc,"Re-pack islands for your mesh to a new non-overlapping UVMap.
Only disable if your UVs are non-overlapping already.
This will leave any map named ""Detail Map"" alone.
Uses UVPackMaster where available for more efficient UVs, make sure the window is showing",,,"将网格的岛屿重新打包到新的非重叠 UVMap。
仅当您的 UV 已经不重叠时才禁用。
这将留下任何名为""详细地图""的地图。
在可用的地方使用 UVPackMaster 以获得更有效的 UV，确保显示窗口"
Scene.bake_uv_overlap_correction.label,Overlap correction,,중복 보정,重叠校正
Scene.bake_uv_overlap_correction.desc,Method used to prevent overlaps in UVMap,,,用于防止 UVMap 中重叠的方法
Scene.bake_prioritize_face.label,Prioritize Eyes,,머리 / 눈 우선 순위 지정,优先考虑头部/眼睛
Scene.bake_prioritize_face.desc,Scale any UV islands attached to the head/eyes by a given factor.,,,按给定因子缩放连接到头部/眼睛的任何 UV 岛。
Scene.bake_face_scale.label,Eyes Scale,,머리 / 눈 스케일,头/眼量表
Scene.bake_face_scale.desc,How much to scale up the face/eyes portion of the textures.,,,将纹理的面部/眼睛部分放大多少。
Scene.bake_quick_compare.label,Quick compare,,빠른 비교,快速比较
Scene.bake_quick_compare.desc,Move output avatar next to existing one to quickly compare,,,将输出头像移动到现有头像旁边以快速比较
Scene.bake_illuminate_eyes.label,Set eyes to full brightness,,눈을 최대 밝기로 설정,将眼睛设置为全亮度
Scene.bake_illuminate_eyes.desc,"Relight LeftEye and RightEye to be full brightness.
Without this, the eyes will have the shadow of the surrounding socket baked in,
which doesn't animate well",,,"重新点亮 LeftEye 和 RightEye 以达到全亮度。
没有这个，眼睛就会有周围眼窝的阴影烤进去，
动画效果不好"
Scene.bake_pass_smoothness.label,Smoothness,,부드러움,平滑度
Scene.bake_pass_smoothness.desc,"Bakes Roughness and then inverts the values.
To use this, it needs to be packed to the Alpha channel of either Diffuse or Metallic.
Not neccesary if your mesh has a global roughness value",,,"烘焙粗糙度，然后反转值。
要使用它，它需要被打包到 Diffuse 或 Metallic 的 Alpha 通道。
如果您的网格具有全局粗糙度值，则不需要"
Scene.bake_pass_diffuse.label,Diffuse (Color),,확산 (색상),漫反射（颜色）
Scene.bake_pass_diffuse.desc,"Bakes diffuse, un-lighted color. Usually you will want this.
While baking, this temporarily links ""Metallic"" to ""Anisotropic Rotation"" as metallic can cause issues.",,,"烘烤漫射、未点亮的颜色。 通常你会想要这个。
烘烤时，这会暂时将""金属""链接到""各向异性旋转""，因为金属会导致问题。"
Scene.bake_preserve_seams.label,Preserve seams,,이음새 유지,保留接缝
Scene.bake_preserve_seams.desc,"Forces the Decimate operation to preserve vertices making up seams, preventing hard edges along seams.
May result in less ideal geometry.
Use if you notice ugly edges along your texture seams.",,,"强制精简操作以保留构成接缝的顶点，防止沿接缝的硬边。
可能导致不太理想的几何形状。
如果您发现纹理接缝处有丑陋的边缘，请使用。"
Scene.bake_pass_normal.label,Normal (Bump),,노말 (범프),正常（凹凸）
Scene.bake_pass_normal.desc,"Bakes a normal (bump) map. Allows you to keep the shading of a complex object with
the geometry of a simple object. If you have selected 'Decimate', it will create a map
that makes the low res output look like the high res input.
Will not work well if you have self-intersecting islands",,,"烘焙法线（凹凸）贴图。 允许您使用
简单物体的几何形状。 如果您选择了""精简""，它将创建一个地图
这使得低分辨率输出看起来像高分辨率输入。
如果您有自相交的岛屿，将无法正常工作"
Scene.bake_normal_apply_trans.label,Apply transforms,,변환 적용,应用变换
Scene.bake_normal_apply_trans.desc,"Applies offsets while baking normals. Neccesary if your model has many materials with different normal maps
Turn this off if applying location causes problems with your model",,,"在烘焙法线时应用偏移。 如果您的模型有许多具有不同法线贴图的材质，则这是必需的
如果应用位置导致模型出现问题，请关闭此功能"
Scene.bake_pass_ao.label,Ambient Occlusion,,,环境光遮蔽
Scene.bake_pass_ao.desc,"Bakes Ambient Occlusion, non-projected shadows. Adds a significant amount of detail to your model.
Reccomended for non-toon style avatars.
Takes a fairly long time to bake",,,"烘焙环境光遮蔽，非投影阴影。 为您的模型添加大量细节。
推荐用于非卡通风格的头像。
需要相当长的时间来烘烤"
Scene.bake_pass_displacement.label,Displacement (Height),,,
Scene.bake_pass_displacement.desc,"Bakes a normalized Displacement map, according to the material displacement in Blender.
Can add real 3d surface detail to models.
Results are in Linear space, so make sure uncheck Color Texture in Unity.",,,"根据 Blender 中的材质置换，烘焙归一化的置换贴图。
可以为模型添加真实的 3d 表面细节。
结果在线性空间中，因此请确保取消选中 Unity 中的颜色纹理。"
Scene.bake_pass_questdiffuse.label,Quest Diffuse (Color+AO),,,任务漫反射（颜色+AO）
Scene.bake_pass_questdiffuse.desc,Blends the result of the Diffuse and AO bakes to make Quest-compatible shading.,,,混合漫反射和 AO 烘焙的结果以制作与 Quest 兼容的着色。
Scene.bake_pass_emit.label,Emit,,,发射
Scene.bake_pass_emit.desc,"Bakes Emit, glowyness",,,烘烤发射，发光
Scene.bake_diffuse_alpha_pack.label,Alpha Channel,,,透明通道
Scene.bake_diffuse_alpha_pack.desc,What to pack to the Diffuse Alpha channel,,,将什么打包到 Diffuse Alpha 通道
Scene.bake_metallic_alpha_pack.label,Metallic Alpha Channel,,,金属 Alpha 通道
Scene.bake_metallic_alpha_pack.desc,What to pack to the Metallic Alpha channel,,,将什么打包到 Metallic Alpha 通道
Scene.bake_pass_alpha.label,Transparency,,,透明度
Scene.bake_pass_alpha.desc,"Bakes transparency by connecting the last Principled BSDF Alpha input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary
Unused if you are baking to Quest",,,"通过连接最后一个 Principled BSDF Alpha 输入来烘焙透明度
到基础颜色输入和烘焙漫反射。
不是 Blender 中的原生通道，结果可能会有所不同
如果您正在烘焙到 Quest，则未使用"
Scene.bake_pass_metallic.label,Metallic,,,金属的
Scene.bake_pass_metallic.desc,"Bakes metallic by connecting the last Principled BSDF Metallic input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary",,,"通过连接最后一个 Principled BSDF Metallic 输入来烘烤金属
到基础颜色输入和烘焙漫反射。
不是 Blender 中的原生通道，结果可能会有所不同"
Scene.bake_questdiffuse_opacity.label,AO Opacity,,,AO不透明度
Scene.bake_questdiffuse_opacity.desc,"The opacity of the shadows to blend onto the Diffuse map.
This should match the unity slider for AO on the Desktop version.",,,"混合到漫反射贴图上的阴影的不透明度。
这应该与桌面版 AO 的统一滑块相匹配。"
Scene.bake_uv_overlap_correction.none.label,Rearrange,,,无
Scene.bake_uv_overlap_correction.none.desc,Leave islands as they are. Use if islands don't self-intersect at all,,,让岛屿保持原样。 如果岛屿根本不自相交，则使用
Scene.bake_uv_overlap_correction.unmirror.label,Unmirror,,,取消镜像
Scene.bake_uv_overlap_correction.unmirror.desc,Move all face islands with positive X values over one to un-pin mirrored UVs. Solves most UV pinning issues.,,,将所有具有正 X 值的面岛移动到 1 以取消固定镜像 UV。 解决了大多数 UV 固定问题。
Scene.bake_uv_overlap_correction.reproject.label,Reproject,,,重新投影
Scene.bake_uv_overlap_correction.reproject.desc,Use blender's Smart UV Project to come up with an entirely new island layout. Tends to reduce quality.,,,使用blender的智能紫外线项目来设计一个全新的岛屿布局。 倾向于降低质量。
Scene.bake_diffuse_alpha_pack.none.label,None,,,无
Scene.bake_diffuse_alpha_pack.none.desc,No alpha channel,,,没有透明通道
Scene.bake_diffuse_alpha_pack.transparency.label,Transparency,,,透明度
Scene.bake_diffuse_alpha_pack.transparency.desc,Pack Transparency,,,包装透明度
Scene.bake_diffuse_alpha_pack.smoothness.label,Smoothness,,,平滑度
Scene.bake_diffuse_alpha_pack.smoothness.desc,Pack Smoothness. Most efficient if you don't have transparency or metallic textures.,,,包平滑度。 如果您没有透明度或金属纹理，则最有效。
Scene.bake_metallic_alpha_pack.none.label,None,,,无
Scene.bake_metallic_alpha_pack.none.desc,No alpha channel,,,没有透明通道
Scene.bake_metallic_alpha_pack.smoothness.label,Smoothness,,,平滑度
Scene.bake_metallic_alpha_pack.smoothness.desc,Pack Smoothness. Use this if your Diffuse alpha channel is already populated with Transparency,,,包平滑度。 如果您的漫反射 alpha 通道已经填充了透明度，请使用此选项
cats_bake.warn_missing_nodes,"A material in use isn't using Nodes, fix this in the Shading tab.",,,"正在使用的材质未使用节点，请在""着色""选项卡中修复此问题。"
cats_bake.preset_desktop.label,Desktop,,,桌面
cats_bake.preset_desktop.desc,"Preset for producing an Excellent-rated Desktop avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,,"用于制作优秀桌面头像的预设，不考虑骨骼。
这将尝试自动检测哪些烘焙通道与您的模型相关"
cats_bake.preset_quest.label,Quest,,,快速
cats_bake.preset_quest.desc,"Preset for producing an Excellent-rated Quest avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,,"用于制作优秀 Quest 头像的预设，不考虑骨骼。
这将尝试自动检测哪些烘焙通道与您的模型相关"
cats_bake.bake.label,Copy and Bake (SLOW!),,,复制和烘烤（慢！）
cats_bake.bake.desc,"Perform the bake. Warning, this performs an actual render!
This will create a copy of your avatar to leave the original alone.
Depending on your machine and model, this could take an hour or more.
For each pass, any Value node in your materials labeled bake_<bakename> will be
set to 1.0, for more granular customization.",,,"执行烘烤。 警告，这将执行实际渲染！
这将创建您的头像的副本，以保留原始头像。
根据您的机器和型号，这可能需要一个小时或更长时间。
对于每个通道，您的材质中标记为 bake_<bakename> 的任何值节点都将是
设置为 1.0，以获得更精细的自定义。"
cats_bake.error.no_meshes,No meshes found!,,메쉬가 발견되지 않음!,未找到网格！
cats_bake.error.render_engine,You need to set your render engine to Cycles first!,,,您需要先将渲染引擎设置为 Cycles！
cats_bake.error.render_disabled,One or more of your armature's meshes have rendering disabled!,,,您的一个或多个骨架网格体已禁用渲染！
cats_bake.info.success,Success! Textures and model saved to 'CATS Bake' folder next to your .blend file.,,,"成功！纹理和模型保存在 .blend 文件旁边的""CATS Bake""文件夹中。"
cats_bake.tutorial_button.label,How to use,,사용법,教你如何使用
cats_bake.tutorial_button.desc,This will open the Cats wiki page for the Bake panel,,,这将打开烘焙面板的 Cats wiki 教程页面
cats_bake.tutorial_button.URL,https://github.com/GiveMeAllYourCats/cats-blender-plugin/wiki/Bake,,,
cats_bake.tutorial_button.success,Bake Tutorial opened.,,,烘焙教程已打开。
CheckForUpdateButton.label,Check now for Update,今すぐアップデートを確認,업데이트 체크,立即检查更新
CheckForUpdateButton.desc,Checks if a new update is available for CATS,,,检查是否有适用于 CATS 的新更新
UpdateToLatestButton.label,Update Now,今すぐアップデート,지금 업데이트,现在更新
UpdateToLatestButton.desc,Update CATS to the latest version,,,将 CATS 更新到最新版本
UpdateToSelectedButton.label,Update to Selected version,選択したバージョンに更新,선택된 버전으로 업데이트,更新到选定版本
UpdateToSelectedButton.desc,Update CATS to the selected version,,,将 CATS 更新到所选版本
UpdateToDevButton.label,Update to Development version,開発版に更新,개발버전으로 업데이트,更新到开发版本
UpdateToDevButton.desc,Update CATS to the Development version,,,将 CATS 更新到开发版本
RemindMeLaterButton.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒我
RemindMeLaterButton.desc,This hides the update notification 'til the next Blender restart,,,这会隐藏更新通知，直到下一次 Blender 重新启动
RemindMeLaterButton.success,You will be reminded later,,,稍后会提醒您
IgnoreThisVersionButton.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略这个版本
IgnoreThisVersionButton.desc,This ignores this version. You will be reminded again when the next version releases,,,这忽略了这个版本。下一个版本发布时会再次提醒您
IgnoreThisVersionButton.success,Version {name} will be ignored.,,,版本 {name} 将被忽略。
ShowPatchnotesPanel.label,Patchnotes,パッチノート,패치노트,补丁说明
ShowPatchnotesPanel.desc,Shows the patchnotes of the selected version,,,显示所选版本的补丁说明
ShowPatchnotesPanel.releaseDate,Released: {date},,,发布时间：{日期}
ConfirmUpdatePanel.label,Confirm Update,アップデートを確認,업데이트 확인,确认更新
ConfirmUpdatePanel.desc,This shows you a panel in which you have to confirm your update choice,,,这将向您显示一个面板，您必须在其中确认您的更新选择
ConfirmUpdatePanel.warn.dev1,Warning:,,,警告：
ConfirmUpdatePanel.warn.dev2, The development version of CATS is the place where,,, CATS 的开发版本是
ConfirmUpdatePanel.warn.dev3, we test new features and bug fixes.,,, 我们测试新功能和错误修复。
ConfirmUpdatePanel.warn.dev4, This version might be very unstable and some features,,, 此版本可能非常不稳定且某些功能
ConfirmUpdatePanel.warn.dev5, might not work correctly.,,, 可能无法正常工作。
ConfirmUpdatePanel.ShowPatchnotesPanel.label,Show Patchnotes,,패치노트 보기,显示补丁说明
